Entry	Reviewed	Protein names	Gene Names	Organism	Length	InterPro	Pfam	Domain [CC]	Domain [FT]	Region
I6WZG6	reviewed	Type 1 encapsulin shell protein (Culture filtrate protein 29) (CFP29) [Cleaved into: Type 1 encapsulin shell protein, N-terminally processed]	enc cfp29 Rv0798c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	265	IPR007544;IPR051429;	PF04454;			
I6X235	reviewed	ADP-ribose pyrophosphatase (EC 3.6.1.13) (8-oxo-(d)GDP phosphatase) (EC 3.6.1.58) (ADPR hydrolase) (MT-ADPRase)	Rv1700	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	207	IPR015797;IPR000086;	PF00293;		DOMAIN 41..172; /note="Nudix hydrolase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00794"	
I6X8D2	reviewed	Polyketide synthase Pks13 (EC 2.3.1.-)	pks13 Rv3800c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	1733	IPR029058;IPR001227;IPR036736;IPR014043;IPR016035;IPR018201;IPR014031;IPR014030;IPR016036;IPR053778;IPR032821;IPR020841;IPR050091;IPR020806;IPR009081;IPR001031;IPR016039;	PF00698;PF16197;PF00109;PF02801;PF00550;PF00975;	DOMAIN: Made of a minimal module holding ketosynthase (KS), acyltransferase (AT), and C-terminal acyl carrier protein (C-ACP) domains, and additional N-terminal ACP (N-ACP) and C-terminal thioesterase-like domains. {ECO:0000269|PubMed:22825853, ECO:0000305|PubMed:19436070}.	DOMAIN 17..95; /note="Carrier 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00258"; DOMAIN 116..541; /note="Ketosynthase family 3 (KS3)"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01348"; DOMAIN 1232..1309; /note="Carrier 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00258"	REGION 548..567; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 713..1034; /note="Acyltransferase"; /evidence="ECO:0000305"; REGION 1344..1368; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"; REGION 1470..1563; /note="Thioesterase-like"; /evidence="ECO:0000305"
I6XD65	reviewed	Nicotinamidase/pyrazinamidase (Nicotinamidase) (EC 3.5.1.19) (Nicotinamide deamidase) (NAMase) (Pyrazinamidase) (PZAase) (EC 3.5.1.-)	pncA Rv2043c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	186	IPR000868;IPR036380;IPR052347;	PF00857;			
I6XD69	reviewed	Mycoketide-CoA synthase (EC 2.3.1.295) (Polyketide synthase Pks12)	pks12 msl6 Rv2048c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	4151	IPR001227;IPR036736;IPR014043;IPR016035;IPR013154;IPR011032;IPR018201;IPR014031;IPR014030;IPR016036;IPR036291;IPR032821;IPR020841;IPR042104;IPR020807;IPR049551;IPR049552;IPR020843;IPR013968;IPR049900;IPR050091;IPR020806;IPR009081;IPR006162;IPR055123;IPR016039;	PF00698;PF08240;PF13602;PF16197;PF00109;PF02801;PF08659;PF21089;PF00550;PF14765;PF22953;	DOMAIN: Contains 12 catalytic domains constituting two modules. Both modules contain a complete set of catalytic and auxiliary domains. {ECO:0000305|PubMed:18613748}.	DOMAIN 34..457; /note="Ketosynthase family 3 (KS3) 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01348"; DOMAIN 926..1195; /note="PKS/mFAS DH 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01363"; DOMAIN 1963..2038; /note="Carrier 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00258"; DOMAIN 2056..2480; /note="Ketosynthase family 3 (KS3) 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01348"; DOMAIN 2940..3215; /note="PKS/mFAS DH 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01363"; DOMAIN 3995..4070; /note="Carrier 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00258"	REGION 35..2038; /note="Module 1"; /evidence="ECO:0000305"; REGION 559..880; /note="Acyltransferase 1"; /evidence="ECO:0000305"; REGION 926..1194; /note="Dehydratase 1"; /evidence="ECO:0000305"; REGION 926..1048; /note="N-terminal hotdog fold 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01363"; REGION 1060..1195; /note="C-terminal hotdog fold 1"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01363"; REGION 1366..1671; /note="Enoyl reductase 1"; /evidence="ECO:0000305"; REGION 1680..1858; /note="Beta-ketoacyl reductase 1"; /evidence="ECO:0000305"; REGION 2057..4070; /note="Module 2"; /evidence="ECO:0000305"; REGION 2582..2893; /note="Acyltransferase 2"; /evidence="ECO:0000305"; REGION 2940..3215; /note="Dehydratase 2"; /evidence="ECO:0000305"; REGION 2940..3062; /note="N-terminal hotdog fold 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01363"; REGION 3074..3215; /note="C-terminal hotdog fold 2"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01363"; REGION 3395..3701; /note="Enoyl reductase 2"; /evidence="ECO:0000305"; REGION 3710..3888; /note="Beta-ketoacyl reductase 2"; /evidence="ECO:0000305"
I6XFS7	reviewed	RNA/DNA methyltransferase Rv2966c (16S rRNA m2G966 methyltransferase) (5-methylcytosine-specific DNA methyltransferase) (EC 2.1.1.-) (Ribosomal RNA small subunit methyltransferase D) (EC 2.1.1.171) (RsmD-like methyltransferase)	Rv2966c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	188	IPR002052;IPR004398;IPR029063;	PF03602;	DOMAIN: Forms a two-domain structure with a short hairpin domain at the N-terminus and a large C-terminal domain with the S-adenosylmethionine-MT fold (PubMed:21474448). The N-terminal domain helps target recognition and is important for binding RNA and DNA substrates (PubMed:21474448). The C-terminal residues dictate the nuclear localization (PubMed:25824946). {ECO:0000269|PubMed:21474448, ECO:0000269|PubMed:25824946}.		REGION 1..16; /note="Beta-hairpin"; /evidence="ECO:0000305|PubMed:21474448"; REGION 17..24; /note="Linker"; /evidence="ECO:0000305|PubMed:21474448"; REGION 25..188; /note="SAM-MT-fold"; /evidence="ECO:0000305|PubMed:21474448"
I6XHI4	reviewed	Steroid 3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acetyltransferase FadA5) (Beta-ketoacyl-CoA thiolase)	fadA5 Rv3546	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	391	IPR002155;IPR016039;IPR020617;IPR020613;IPR020616;	PF02803;PF00108;			
I6XU97	reviewed	Esterase Rv0045c (EC 3.1.1.1)	Rv0045c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	298	IPR000073;IPR029058;IPR050228;	PF12697;	DOMAIN: Contains two distinct structural domains: an almost globular alpha/beta fold domain and an inserted cap domain which interacts with the alpha/beta fold domain (PubMed:21637775). A flexible loop plays a functional role in the metal-dependent allosteric regulation of the enzyme (PubMed:33914998). {ECO:0000269|PubMed:21637775, ECO:0000269|PubMed:33914998}.		
I6Y0R5	reviewed	Dihydrofolate synthase/folylpolyglutamate synthase (DHFS / FPGS) (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)	folC Rv2447c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	487	IPR001645;IPR018109;IPR036565;IPR004101;IPR036615;IPR013221;	PF02875;PF08245;	DOMAIN: Is folded into two distinct domains, an N-terminal ATPase domain and a C-terminal Rossmann-fold domain, which are joined by a flexible linker. {ECO:0000269|PubMed:18566510}.		
I6Y2J4	reviewed	Triacylglycerol lipase (EC 3.1.1.3) (Esterase/lipase) (Triolein hydrolase) [Cleaved into: Cytosolic triacylglycerol lipase; Extracellular triacylglycerol lipase]	lipY PE-PGRS63 Rv3097c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	437	IPR013094;IPR029058;IPR050300;IPR000084;	PF07859;PF00934;	DOMAIN: Contains an N-terminal PE domain and a C-terminal catalytic domain, which are connected by a linker region (PubMed:17938218). The PE domain is involved in aggregation and activity regulation (PubMed:26270534). It is also required for ESX-5-dependent secretion (PubMed:21471225). After transport, the PE domain is removed by proteolytic cleavage (PubMed:21471225). {ECO:0000269|PubMed:17938218, ECO:0000269|PubMed:21471225, ECO:0000269|PubMed:26270534}.	DOMAIN 1..100; /note="PE"; /evidence="ECO:0000255, ECO:0000305|PubMed:17938218"	REGION 101..206; /note="Linker"; /evidence="ECO:0000305|PubMed:17938218"; REGION 207..437; /note="Lipase"; /evidence="ECO:0000305|PubMed:17938218"
I6Y3Q0	reviewed	Acyl-CoA dehydrogenase FadE27 (ACAD) (EC 1.3.99.-) (3-oxocholest-4-en-26-oyl-CoA dehydrogenase beta subunit)	fadE27 Rv3505	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	373	IPR046373;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;	PF00441;PF02771;			
I6Y4D2	reviewed	N-acetylmuramoyl-L-alanine amidase Rv3717 (EC 3.5.1.28) (Zinc-dependent peptidoglycan amidase)	Rv3717	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	241	IPR002508;IPR050695;	PF01520;		DOMAIN 29..230; /note="MurNAc-LAA"; /evidence="ECO:0000255"	REGION 45..69; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
I6Y4U9	reviewed	Dye-decolorizing peroxidase (DyP) (EC 1.11.1.7)	dyp Rv0799c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	335	IPR011008;IPR048328;IPR048327;IPR006314;	PF20628;PF04261;	DOMAIN: The C-terminus (residues 312-335) targets the protein to the encapsulin nanocompartment. {ECO:0000269|PubMed:24855650}.		REGION 312..335; /note="Targeting peptide"; /evidence="ECO:0000269|PubMed:24855650"
I6Y778	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase [NADH] (EC 1.1.1.212) (Beta-ketoacyl CoA reductase) (FASII-like 3-oxoacyl-thioester reductase) (HMwFabG)	fabG4 Rv0242c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	454	IPR036291;IPR020904;IPR002347;	PF13561;	DOMAIN: Contains an N-terminal flavodoxin-type domain and a C-terminal ketoreductase domain (PubMed:21081168). The C-terminal residues participate in intercatalytic domain interaction and play a pivotal role in stabilization of loop I, which is responsible for interaction with phosphopentethine moiety-linked fatty acyl substrates of CoA or ACP (PubMed:23163771). {ECO:0000269|PubMed:21081168, ECO:0000269|PubMed:23163771}.		
I6Y9J2	reviewed	L,D-transpeptidase 2 (LDT 2) (EC 2.3.2.-) (Ldt(Mt2))	ldtB lppS Rv2518c RVBD_2518c P425_02624	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	408	IPR041280;IPR050979;IPR005490;IPR038063;	PF17964;PF03734;	DOMAIN: Consists of two tandem immunoglobulin-like Big_5 domains in the N-terminal region (residues 56-145 and 150-250), followed by a L,D-transpeptidase catalytic domain (residues 251-378) and a C-terminal tail (residues 379-408). {ECO:0000269|PubMed:23519417, ECO:0000269|PubMed:23519418}.	DOMAIN 253..378; /note="L,D-TPase catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01373"	
I6Y9Q3	reviewed	2-methylcitrate synthase (2-MCS) (MCS) (EC 2.3.3.5) (Citrate synthase) (EC 2.3.3.16)	prpC Rv1131 RVBD_1131 P425_01180	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	393	IPR011278;IPR016142;IPR016143;IPR002020;IPR019810;IPR024176;IPR036969;	PF00285;			
I6YBQ3	reviewed	HTH-type transcriptional regulator LrpA (Feast/famine regulatory protein Rv3291c) (MtbLrp) (MtbLrpA)	lrpA Rv3291c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	150	IPR000485;IPR011008;IPR019888;IPR019887;IPR036388;IPR036390;	PF01037;PF13412;	DOMAIN: Contains an N-terminal DNA-binding domain, followed by a rather long linker and a C-terminal effector-binding domain, which is also involved in oligomeric interactions (PubMed:17962306, PubMed:18042675). The ligand-binding loops of two crystallographically independent subunits adopt different conformations to generate two distinct effector-binding sites (PubMed:17962306). Amino acids like phenylalanine, tyrosine and tryptophan exhibit binding to only one site, histidine exhibits binding to both sites (PubMed:17962306). {ECO:0000269|PubMed:17962306, ECO:0000269|PubMed:18042675}.	DOMAIN 5..66; /note="HTH asnC-type"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00319"	
I6YCA3	reviewed	Acyl-CoA dehydrogenase FadE26 (ACAD) (EC 1.3.99.-) (3-oxocholest-4-en-26-oyl-CoA dehydrogenase alpha subunit)	fadE26 Rv3504	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	400	IPR006091;IPR046373;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;IPR052161;	PF00441;PF02770;PF02771;			
I6YFP0	reviewed	Biotin--[acetyl-CoA-carboxylase] ligase (EC 6.3.4.15) (Biotin--[biotin carboxyl-carrier protein] ligase) (Biotin--protein ligase) (BPL) (Biotin-[acetyl-CoA carboxylase] synthetase)	birA Rv3279c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	266	IPR045864;IPR004408;IPR003142;IPR004143;	PF02237;PF03099;	DOMAIN: Belongs to monofunctional group I BPL as it lacks the N-terminal helix-turn-helix (HTH) DNA-binding domain. {ECO:0000305|PubMed:18509457}.	DOMAIN 14..202; /note="BPL/LPL catalytic"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01067"	
I6YG32	reviewed	N-alpha-acetyltransferase RimI (EC 2.3.1.255) (EC 2.3.1.258)	rimI Rv3420c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	158	IPR006464;IPR016181;IPR050832;IPR000182;	PF00583;		DOMAIN 8..155; /note="N-acetyltransferase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00532"	
I6YHB0	reviewed	Histone-like protein Rv3852 (Mycobacterial DNA binding protein 2) (MDP2) (Nucleoid-associated protein) (NAP)	hns Rv3852	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	134					REGION 1..68; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
L0T905	reviewed	Anti-sigma-E factor RseA (Regulator of SigE) (Sigma-E anti-sigma factor RseA)	rseA Rv1222	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	154	IPR048186;IPR041916;				REGION 104..154; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
L0T911	reviewed	Penicillin-binding protein PbpB (Penicillin-binding protein 3) (PBP3)	pbpB ftsI pbp3 Rv2163c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	679	IPR050515;IPR012338;IPR005311;IPR036138;IPR001460;	PF03717;PF00905;	DOMAIN: The enzyme has an N-terminal penicillin insensitive transglycosylase domain (formation of linear glycan strands) and a C-terminal penicillin-sensitive transpeptidase domain (cross-linking of the peptide subunits). {ECO:0000250}.		REGION 1..74; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
L0TC47	reviewed	Lipase LipV (EC 3.1.1.1)	lipV Rv3203	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	261	IPR000073;IPR029058;IPR050266;IPR000639;	PF12697;			
O05306	reviewed	Cytokinin riboside 5'-monophosphate phosphoribohydrolase (EC 3.2.2.n1) (Protein LONELY GUY homolog) (LOG homolog)	log Rv1205 RVBD_1205 P425_01253	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	187	IPR005269;IPR031100;	PF03641;			
O05307	reviewed	Medium/long-chain-fatty-acid--CoA ligase FadD6 (EC 6.2.1.2) (EC 6.2.1.3) (FACL6)	fadD6 Rv1206	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	597	IPR025110;IPR045851;IPR020845;IPR000873;IPR042099;IPR054874;	PF00501;PF13193;			
O05442	reviewed	Outer membrane channel protein CpnT (Channel protein with necrosis-inducing toxin) [Cleaved into: N-terminal channel domain; Tuberculosis necrotizing toxin (TNT) (NAD(+) glycohydrolase) (EC 3.2.2.5)]	cpnT Rv3903c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	846	IPR025331;	PF14021;		DOMAIN 751..846; /note="TNT"; /evidence="ECO:0000255"	REGION 1..443; /note="NTD"; /evidence="ECO:0000305|PubMed:24753609"; REGION 442..630; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
O05461	reviewed	Mycosin-1 (EC 3.4.21.-) (MycP1 protease)	mycP1 Rv3883c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	446	IPR000209;IPR036852;IPR015500;IPR023834;	PF00082;		DOMAIN 64..387; /note="Peptidase S8"; /evidence="ECO:0000255|PROSITE-ProRule:PRU01240"	REGION 24..43; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
O05581	reviewed	Acetyltransferase Pat (EC 2.3.1.-) (GCN5-like enzyme) (GCN5-related N-acetyltransferase) (GNAT) (Protein acetyltransferase) (Pat)	Rv0998	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	333	IPR016181;IPR018488;IPR000595;IPR018490;IPR050397;IPR000182;IPR014710;	PF13302;PF00027;		DOMAIN 156..318; /note="N-acetyltransferase"; /evidence="ECO:0000255|PROSITE-ProRule:PRU00532"	
O05877	reviewed	GDP-polyphosphate phosphotransferase (EC 2.7.4.-) (Polyphosphate kinase PPK2)	ppk2 Rv3232c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	295	IPR027417;IPR016898;IPR022488;IPR022486;	PF03976;			REGION 1..28; /note="Disordered"; /evidence="ECO:0000256|SAM:MobiDB-lite"
O06218	reviewed	Alkyl hydroperoxide reductase Rv2159c (EC 1.11.1.-) (Alkylhydroperoxidase Rv2159c)	Rv2159c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	344	IPR029032;IPR004675;IPR003779;	PF02627;			REGION 49..50; /note="Important for interaction with PknI"; /evidence="ECO:0000269|PubMed:27818650"
O06319	reviewed	Phospholipase Culp4 (EC 3.1.1.-) (Cutinase-like protein 4) (Culp4)	cut4 Rv3452	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	226	IPR029058;IPR000675;	PF01083;			
O06350	reviewed	Carboxylesterase/phospholipase LipF (EC 3.1.1.1) (EC 3.1.4.3)	lipF Rv3487c	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	373	IPR013094;IPR029058;IPR050300;IPR033140;	PF07859;			
O06428	reviewed	Nonaprenyl diphosphate synthase (EC 2.5.1.85) ((2E,6E)-farnesyl diphosphate synthase) (E,E-FPP synthase) (FPP synthase) (EC 2.5.1.10) (Geranylgeranyl diphosphate synthase) (GGPP synthase) (GGPS) (EC 2.5.1.29)	grcC1 Rv0562	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	335	IPR008949;IPR053541;IPR000092;IPR033749;	PF00348;	DOMAIN: Contains the canonical two aspartate-rich DDxxD motifs, designated as FARM (the first aspartate-rich motif) and SARM (the second aspartate-rich motif). The primary role of the FARM and SARM is the chelation of the divalent magnesium ion cofactors that assist substrate binding and catalysis, but it may also play a role in determining product chain length. {ECO:0000305|PubMed:30301210}.		
O06543	reviewed	Alpha-methylacyl-CoA racemase (AMACR) (EC 5.1.99.4) (MtMCR)	mcr Rv1143	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	360	IPR050509;IPR003673;IPR044855;IPR023606;	PF02515;			
O06582	reviewed	2-methylcitrate dehydratase (2-MC dehydratase) (EC 4.2.1.79) (Aconitate hydratase) (ACN) (Aconitase) (EC 4.2.1.3)	prpD Rv1130 RVBD_1130 P425_01179	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	526	IPR053420;IPR036148;IPR042183;IPR042188;IPR005656;IPR045337;IPR045336;	PF19305;PF03972;			
