gene_id,locus_tag,gene_name,cds_length,wt_logprob,mut_logprob,delta_ll
Rv0089,Rv0089,NA,591,-0.75,-0.73046875,0.01953125
Rv0090,Rv0090,NA,768,-0.765625,-0.76171875,0.00390625
Rv0091,Rv0091,mtn,765,-0.7734375,-0.7578125,0.015625
Rv0092,Rv0092,ctpA,2283,-0.83203125,-0.80078125,0.03125
Rv0093c,Rv0093c,NA,846,-0.82421875,-0.78515625,0.0390625
Rv0094c,Rv0094c,NA,951,-0.84765625,-0.83203125,0.015625
Rv0095c,Rv0095c,NA,408,-0.8515625,-0.84375,0.0078125
Rv0096,Rv0096,PPE1,1389,-0.85546875,-0.78125,0.07421875
Rv0097,Rv0097,NA,867,-0.9296875,-0.90625,0.0234375
Rv0098,Rv0098,fcoT,549,-0.93359375,-0.8828125,0.05078125
Rv0099,Rv0099,fadD10,1620,-0.9453125,-0.875,0.0703125
Rv0100,Rv0100,NA,234,-0.96875,-0.95703125,0.01171875
Rv0101,Rv0101,nrp,7536,-0.8515625,-0.70703125,0.14453125
Rv0102,Rv0102,NA,1983,-0.796875,-0.734375,0.0625
Rv0103c,Rv0103c,ctpB,2256,-0.875,-0.82421875,0.05078125
Rv0104,Rv0104,NA,1512,-0.83984375,-0.7421875,0.09765625
Rv0105c,Rv0105c,rpmB1,282,-0.80859375,-0.8046875,0.00390625
Rv0106,Rv0106,NA,1194,-0.796875,-0.765625,0.03125
Rv0107c,Rv0107c,ctpI,4896,-0.83203125,-0.76171875,0.0703125
Rv0108c,Rv0108c,NA,207,-0.7890625,-0.78515625,0.00390625
Rv0109,Rv0109,PE_PGRS1,1488,-0.7734375,-0.71484375,0.05859375
Rv0110,Rv0110,NA,747,-0.88671875,-0.87109375,0.015625
Rv0111,Rv0111,NA,2055,-0.91015625,-0.86328125,0.046875
Rv0112,Rv0112,gca,954,-0.8671875,-0.828125,0.0390625
Rv0113,Rv0113,gmhA,588,-0.85546875,-0.8359375,0.01953125
Rv0114,Rv0114,gmhB,570,-0.8671875,-0.84375,0.0234375
Rv0115,Rv0115,hddA,1158,-0.8515625,-0.80859375,0.04296875
Rv0115a,Rv0115a,NA,186,-0.875,-0.8671875,0.0078125
Rv0116c,Rv0116c,ldtA,753,-0.875,-0.86328125,0.01171875
Rv0117,Rv0117,oxyS,942,-0.8125,-0.80859375,0.00390625
Rv0118c,Rv0118c,oxcA,1746,-0.76171875,-0.75,0.01171875
Rv0119,Rv0119,fadD7,1575,-0.7265625,-0.69921875,0.02734375
Rv0120c,Rv0120c,fusA2,2142,-0.73828125,-0.7421875,-0.00390625
Rv0121c,Rv0121c,NA,432,-0.76953125,-0.76171875,0.0078125
Rv0122,Rv0122,NA,366,-0.7109375,-0.703125,0.0078125
Rv0123,Rv0123,NA,366,-0.6953125,-0.6875,0.0078125
Rv0124,Rv0124,PE_PGRS2,1461,-0.66796875,-0.62890625,0.0390625
Rv0125,Rv0125,pepA,1065,-0.69921875,-0.69140625,0.0078125
Rv0126,Rv0126,treS,1803,-0.703125,-0.74609375,-0.04296875
Rv0127,Rv0127,mak,1365,-0.6171875,-0.63671875,-0.01953125
Rv0128,Rv0128,NA,777,-0.58984375,-0.58984375,0
Rv0129c,Rv0129c,fbpC,1020,-0.60546875,-0.6328125,-0.02734375
Rv0130,Rv0130,htdZ,453,-0.65234375,-0.66796875,-0.015625
Rv0131c,Rv0131c,fadE1,1341,-0.671875,-0.6953125,-0.0234375
Rv0132c,Rv0132c,fgd2,1080,-0.640625,-0.65625,-0.015625
Rv0133,Rv0133,NA,603,-0.62109375,-0.6328125,-0.01171875
Rv0134,Rv0134,ephF,900,-0.6171875,-0.6484375,-0.03125
Rv0135c,Rv0135c,NA,603,-0.609375,-0.62890625,-0.01953125
Rv0136,Rv0136,cyp138,1323,-0.671875,-0.68359375,-0.01171875
Rv0137c,Rv0137c,msrA,546,-0.65625,-0.671875,-0.015625
Rv0138,Rv0138,NA,501,-0.65234375,-0.671875,-0.01953125
Rv0139,Rv0139,NA,1020,-0.67578125,-0.6875,-0.01171875
Rv0140,Rv0140,NA,378,-0.70703125,-0.71484375,-0.0078125
Rv0141c,Rv0141c,NA,408,-0.671875,-0.671875,0
Rv0142,Rv0142,NA,924,-0.6875,-0.6796875,0.0078125
Rv0143c,Rv0143c,NA,1476,-0.68359375,-0.6953125,-0.01171875
Rv0144,Rv0144,NA,840,-0.7109375,-0.69140625,0.01953125
Rv0145,Rv0145,NA,951,-0.69140625,-0.6875,0.00390625
Rv0146,Rv0146,NA,930,-0.7109375,-0.7109375,0
Rv0147,Rv0147,NA,1518,-0.78125,-0.7734375,0.0078125
Rv0148,Rv0148,NA,858,-0.80859375,-0.8203125,-0.01171875
Rv0149,Rv0149,NA,966,-0.8125,-0.8046875,0.0078125
Rv0150c,Rv0150c,NA,285,-0.796875,-0.78125,0.015625
Rv0151c,Rv0151c,PE1,1764,-0.75,-0.69921875,0.05078125
Rv0152c,Rv0152c,PE2,1575,-0.75390625,-0.70703125,0.046875
Rv0153c,Rv0153c,ptbB,828,-0.71875,-0.72265625,-0.00390625
Rv0154c,Rv0154c,fadE2,1209,-0.65625,-0.69140625,-0.03515625
Rv0155,Rv0155,pntAa,1098,-0.68359375,-0.7109375,-0.02734375
Rv0156,Rv0156,pntAb,330,-0.66015625,-0.6875,-0.02734375
Rv0157,Rv0157,pntB,1425,-0.67578125,-0.7109375,-0.03515625
Rv0157A,Rv0157A,NA,126,-0.65625,-0.66796875,-0.01171875
Rv0158,Rv0158,NA,642,-0.671875,-0.6953125,-0.0234375
Rv0159c,Rv0159c,PE3,1404,-0.64453125,-0.62890625,0.015625
Rv0160c,Rv0160c,PE4,1506,-0.68359375,-0.65625,0.02734375
Rv0161,Rv0161,NA,1347,-0.73828125,-0.734375,0.00390625
Rv0162c,Rv0162c,adhE1,1149,-0.73046875,-0.73046875,0
Rv0163,Rv0163,NA,453,-0.69140625,-0.703125,-0.01171875
Rv0164,Rv0164,TB18.5,483,-0.65625,-0.66796875,-0.01171875
Rv0165c,Rv0165c,mce1R,669,-0.62890625,-0.640625,-0.01171875
Rv0166,Rv0166,fadD5,1662,-0.6015625,-0.6328125,-0.03125
Rv0167,Rv0167,yrbE1A,795,-0.59375,-0.63671875,-0.04296875
Rv0168,Rv0168,yrbE1B,867,-0.6015625,-0.6328125,-0.03125
Rv0169,Rv0169,mce1A,1362,-0.56640625,-0.59765625,-0.03125
Rv0170,Rv0170,mce1B,1038,-0.55859375,-0.59375,-0.03515625
Rv0171,Rv0171,mce1C,1545,-0.53515625,-0.578125,-0.04296875
Rv0172,Rv0172,mce1D,1590,-0.59765625,-0.63671875,-0.0390625
Rv0173,Rv0173,lprK,1170,-0.64453125,-0.671875,-0.02734375
Rv0174,Rv0174,mce1F,1545,-0.65234375,-0.6796875,-0.02734375
Rv0175,Rv0175,NA,639,-0.67578125,-0.68359375,-0.0078125
Rv0176,Rv0176,NA,966,-0.71484375,-0.69921875,0.015625
Rv0177,Rv0177,NA,552,-0.6953125,-0.69140625,0.00390625
Rv0178,Rv0178,NA,732,-0.70703125,-0.703125,0.00390625
Rv0179c,Rv0179c,lprO,1107,-0.6796875,-0.69921875,-0.01953125
Rv0180c,Rv0180c,NA,1356,-0.67578125,-0.6796875,-0.00390625
Rv0181c,Rv0181c,NA,732,-0.6484375,-0.65625,-0.0078125
Rv0182c,Rv0182c,sigG,1110,-0.625,-0.6484375,-0.0234375
Rv0183,Rv0183,NA,837,-0.671875,-0.6953125,-0.0234375
Rv0184,Rv0184,NA,747,-0.62890625,-0.6640625,-0.03515625
Rv0185,Rv0185,NA,507,-0.66796875,-0.6796875,-0.01171875
Rv0186,Rv0186,bglS,2073,-0.6171875,-0.64453125,-0.02734375
Rv0186A,Rv0186A,mymT,159,-0.63671875,-0.6484375,-0.01171875
Rv0187,Rv0187,NA,660,-0.62109375,-0.6328125,-0.01171875
Rv0188,Rv0188,NA,429,-0.6796875,-0.6796875,0
Rv0189c,Rv0189c,ilvD,1725,-0.71484375,-0.7421875,-0.02734375
Rv0190,Rv0190,NA,288,-0.77734375,-0.7890625,-0.01171875
Rv0191,Rv0191,NA,1239,-0.82421875,-0.8046875,0.01953125
Rv0192,Rv0192,NA,1098,-0.828125,-0.8046875,0.0234375
Rv0193c,Rv0193c,NA,1845,-0.8515625,-0.73828125,0.11328125
Rv0194,Rv0194,NA,3582,-0.86328125,-0.7578125,0.10546875
Rv0195,Rv0195,NA,633,-0.73828125,-0.7109375,0.02734375
Rv0196,Rv0196,NA,582,-0.71484375,-0.7265625,-0.01171875
Rv0197,Rv0197,NA,2286,-0.69921875,-0.72265625,-0.0234375
Rv0198c,Rv0198c,zmp1,1989,-0.6484375,-0.67578125,-0.02734375
Rv0199,Rv0199,NA,657,-0.578125,-0.6015625,-0.0234375
Rv0200,Rv0200,NA,687,-0.62890625,-0.65234375,-0.0234375
Rv0201c,Rv0201c,NA,501,-0.65234375,-0.66015625,-0.0078125
Rv0202c,Rv0202c,mmpL11,2898,-0.671875,-0.68359375,-0.01171875
Rv0203,Rv0203,NA,408,-0.69921875,-0.6953125,0.00390625
Rv0204c,Rv0204c,NA,1236,-0.66015625,-0.671875,-0.01171875
Rv0205,Rv0205,NA,1101,-0.65234375,-0.66796875,-0.015625
Rv0206c,Rv0206c,mmpL3,2832,-0.734375,-0.71875,0.015625
Rv0207c,Rv0207c,NA,726,-0.734375,-0.75,-0.015625
Rv0208c,Rv0208c,NA,789,-0.703125,-0.6953125,0.0078125
Rv0209,Rv0209,NA,1083,-0.69140625,-0.66015625,0.03125
Rv0210,Rv0210,NA,1476,-0.765625,-0.7265625,0.0390625
Rv0211,Rv0211,pckA,1818,-0.79296875,-0.80859375,-0.015625
Rv0212c,Rv0212c,nadR,969,-0.71875,-0.6953125,0.0234375
Rv0213c,Rv0213c,NA,1311,-0.69140625,-0.640625,0.05078125
Rv0214,Rv0214,fadD4,1611,-0.68359375,-0.69921875,-0.015625
Rv0216,Rv0216,NA,1011,-0.703125,-0.703125,0
Rv0217c,Rv0217c,lipW,906,-0.65234375,-0.65625,-0.00390625
Rv0218,Rv0218,NA,1326,-0.625,-0.65234375,-0.02734375
Rv0219,Rv0219,NA,546,-0.62109375,-0.625,-0.00390625
Rv0220,Rv0220,lipC,1209,-0.6328125,-0.6484375,-0.015625
Rv0221,Rv0221,NA,1407,-0.59765625,-0.62890625,-0.03125
Rv0222,Rv0222,echA1,786,-0.6015625,-0.6328125,-0.03125
Rv0223c,Rv0223c,NA,1461,-0.6015625,-0.63671875,-0.03515625
Rv0224c,Rv0224c,NA,762,-0.59765625,-0.625,-0.02734375
Rv0225,Rv0225,NA,1152,-0.59765625,-0.62890625,-0.03125
Rv0226c,Rv0226c,NA,1728,-0.57421875,-0.58203125,-0.0078125
Rv0227c,Rv0227c,NA,1263,-0.57421875,-0.60546875,-0.03125
Rv0228,Rv0228,NA,1221,-0.59765625,-0.62109375,-0.0234375
Rv0229c,Rv0229c,NA,411,-0.58203125,-0.59765625,-0.015625
Rv0230c,Rv0230c,php,978,-0.546875,-0.58984375,-0.04296875
Rv0231,Rv0231,fadE4,1704,-0.56640625,-0.60546875,-0.0390625
Rv0232,Rv0232,NA,687,-0.5546875,-0.5859375,-0.03125
Rv0233,Rv0233,nrdB,942,-0.5625,-0.59765625,-0.03515625
Rv0234c,Rv0234c,gabD1,1533,-0.5625,-0.59765625,-0.03515625
Rv0235c,Rv0235c,NA,1446,-0.53125,-0.5703125,-0.0390625
Rv0236c,Rv0236c,aftD,4200,-0.5625,-0.61328125,-0.05078125
Rv0236A,Rv0236A,NA,171,-0.5703125,-0.58984375,-0.01953125
Rv0237,Rv0237,lpqI,1164,-0.57421875,-0.59765625,-0.0234375
Rv0238,Rv0238,NA,612,-0.55078125,-0.58203125,-0.03125
Rv0239,Rv0239,vapB24,231,-0.5546875,-0.55859375,-0.00390625
Rv0240,Rv0240,vapC24,435,-0.5625,-0.56640625,-0.00390625
Rv0241c,Rv0241c,htdX,840,-0.5546875,-0.58984375,-0.03515625
Rv0242c,Rv0242c,fabG4,1362,-0.578125,-0.63671875,-0.05859375
Rv0243,Rv0243,fadA2,1320,-0.63671875,-0.67578125,-0.0390625
Rv0244c,Rv0244c,fadE5,1833,-0.640625,-0.69140625,-0.05078125
Rv0245,Rv0245,NA,486,-0.65625,-0.66796875,-0.01171875
Rv0246,Rv0246,NA,1308,-0.65234375,-0.59375,0.05859375
Rv0247c,Rv0247c,NA,744,-0.703125,-0.7265625,-0.0234375
Rv0248c,Rv0248c,NA,1938,-0.6875,-0.71484375,-0.02734375
Rv0249c,Rv0249c,NA,819,-0.65234375,-0.671875,-0.01953125
Rv0250c,Rv0250c,NA,291,-0.59375,-0.61328125,-0.01953125
Rv0251c,Rv0251c,hsp,477,-0.58203125,-0.58984375,-0.0078125
Rv0252,Rv0252,nirB,2559,-0.64453125,-0.6875,-0.04296875
Rv0253,Rv0253,nirD,354,-0.72265625,-0.734375,-0.01171875
Rv0254c,Rv0254c,cobU,522,-0.71875,-0.71875,0
Rv0255c,Rv0255c,cobQ1,1482,-0.73046875,-0.7265625,0.00390625
Rv0256c,Rv0256c,PPE2,1668,-0.71875,-0.67578125,0.04296875
Rv0257,Rv0257,NA,372,-0.76953125,-0.7578125,0.01171875
Rv0258c,Rv0258c,NA,453,-0.7578125,-0.76171875,-0.00390625
Rv0259c,Rv0259c,NA,741,-0.75,-0.7421875,0.0078125
Rv0260c,Rv0260c,NA,1143,-0.76171875,-0.76953125,-0.0078125
Rv0261c,Rv0261c,narK3,1407,-0.70703125,-0.71484375,-0.0078125
Rv0262c,Rv0262c,aac,543,-0.640625,-0.65234375,-0.01171875
Rv0263c,Rv0263c,NA,900,-0.62890625,-0.66015625,-0.03125
Rv0264c,Rv0264c,NA,630,-0.59765625,-0.609375,-0.01171875
Rv0265c,Rv0265c,NA,990,-0.60546875,-0.62109375,-0.015625
Rv0266c,Rv0266c,oplA,3627,-0.61328125,-0.640625,-0.02734375
Rv0267,Rv0267,narU,1389,-0.5703125,-0.60546875,-0.03515625
Rv0268c,Rv0268c,NA,507,-0.5703125,-0.5625,0.0078125
Rv0269c,Rv0269c,NA,1191,-0.5625,-0.59375,-0.03125
Rv0270,Rv0270,fadD2,1680,-0.5625,-0.59375,-0.03125
Rv0271c,Rv0271c,fadE6,2193,-0.58203125,-0.62109375,-0.0390625
Rv0272c,Rv0272c,NA,1131,-0.60546875,-0.6328125,-0.02734375
Rv0273c,Rv0273c,NA,618,-0.62109375,-0.63671875,-0.015625
Rv0274,Rv0274,NA,579,-0.640625,-0.67578125,-0.03515625
Rv0275c,Rv0275c,NA,723,-0.65234375,-0.65625,-0.00390625
Rv0276,Rv0276,NA,918,-0.66796875,-0.67578125,-0.0078125
Rv0277c,Rv0277c,vapC25,426,-0.69140625,-0.6875,0.00390625
Rv0278c,Rv0278c,NA,2871,-0.703125,-0.63671875,0.06640625
Rv0279c,Rv0279c,PE_PGRS4,2511,-0.765625,-0.6875,0.078125
Rv0280,Rv0280,PPE3,1608,-0.67578125,-0.6484375,0.02734375
Rv0281,Rv0281,NA,906,-0.68359375,-0.6953125,-0.01171875
Rv0282,Rv0282,eccA3,1893,-0.62890625,-0.65234375,-0.0234375
Rv0283,Rv0283,eccB3,1614,-0.59375,-0.62890625,-0.03515625
Rv0284,Rv0284,eccC3,3990,-0.6328125,-0.68359375,-0.05078125
Rv0285,Rv0285,PE5,306,-0.62890625,-0.65234375,-0.0234375
Rv0286,Rv0286,PPE4,1539,-0.62109375,-0.609375,0.01171875
Rv0287,Rv0287,esxG,291,-0.66796875,-0.69140625,-0.0234375
Rv0288,Rv0288,esxH,288,-0.69140625,-0.71875,-0.02734375
Rv0289,Rv0289,espG3,885,-0.69921875,-0.6796875,0.01953125
Rv0290,Rv0290,eccD3,1416,-0.734375,-0.7265625,0.0078125
Rv0291,Rv0291,mycP3,1383,-0.734375,-0.734375,0
Rv0292,Rv0292,eccE3,993,-0.69140625,-0.671875,0.01953125
Rv0293c,Rv0293c,NA,1200,-0.66015625,-0.66796875,-0.0078125
Rv0294,Rv0294,tam,783,-0.7109375,-0.72265625,-0.01171875
Rv0295c,Rv0295c,NA,801,-0.7421875,-0.74609375,-0.00390625
Rv0296c,Rv0296c,NA,1395,-0.78515625,-0.78125,0.00390625
Rv0297,Rv0297,PE_PGRS5,1773,-0.7734375,-0.6953125,0.078125
Rv0298,Rv0298,NA,225,-0.8046875,-0.80078125,0.00390625
Rv0299,Rv0299,NA,300,-0.828125,-0.81640625,0.01171875
Rv0300,Rv0300,vapB2,219,-0.80859375,-0.81640625,-0.0078125
Rv0301,Rv0301,vapC2,423,-0.796875,-0.796875,0
Rv0302,Rv0302,NA,630,-0.828125,-0.8046875,0.0234375
Rv0303,Rv0303,NA,906,-0.80078125,-0.77734375,0.0234375
Rv0304c,Rv0304c,PPE5,6612,-0.73046875,-0.58984375,0.140625
Rv0305c,Rv0305c,PPE6,2889,-0.67578125,-0.63671875,0.0390625
Rv0306,Rv0306,NA,669,-0.73046875,-0.7421875,-0.01171875
Rv0307c,Rv0307c,NA,480,-0.7421875,-0.73828125,0.00390625
Rv0308,Rv0308,NA,714,-0.76953125,-0.74609375,0.0234375
Rv0309,Rv0309,NA,654,-0.7890625,-0.79296875,-0.00390625
Rv0310c,Rv0310c,NA,489,-0.7421875,-0.7578125,-0.015625
Rv0311,Rv0311,NA,1227,-0.76953125,-0.765625,0.00390625
Rv0312,Rv0312,NA,1860,-0.80859375,-0.75390625,0.0546875
Rv0313,Rv0313,NA,384,-0.796875,-0.80859375,-0.01171875
Rv0314c,Rv0314c,NA,660,-0.81640625,-0.796875,0.01953125
Rv0315,Rv0315,NA,882,-0.875,-0.86328125,0.01171875
Rv0316,Rv0316,NA,612,-0.84375,-0.8203125,0.0234375
Rv0317c,Rv0317c,glpQ2,768,-0.83203125,-0.8046875,0.02734375
Rv0318c,Rv0318c,NA,792,-0.80078125,-0.7578125,0.04296875
Rv0319,Rv0319,pcp,666,-0.8125,-0.78515625,0.02734375
Rv0320,Rv0320,NA,660,-0.8125,-0.796875,0.015625
Rv0321,Rv0321,dcd,570,-0.83203125,-0.84375,-0.01171875
Rv0322,Rv0322,udgA,1329,-0.828125,-0.8203125,0.0078125
Rv0323c,Rv0323c,NA,669,-0.81640625,-0.796875,0.01953125
Rv0324,Rv0324,NA,678,-0.84375,-0.828125,0.015625
Rv0325,Rv0325,NA,222,-0.84375,-0.84765625,-0.00390625
Rv0326,Rv0326,NA,453,-0.828125,-0.8203125,0.0078125
Rv0327c,Rv0327c,cyp135A1,1347,-0.82421875,-0.78515625,0.0390625
Rv0328,Rv0328,NA,600,-0.859375,-0.83203125,0.02734375
Rv0329c,Rv0329c,NA,624,-0.85546875,-0.8203125,0.03515625
Rv0330c,Rv0330c,NA,738,-0.875,-0.828125,0.046875
Rv0331,Rv0331,NA,1164,-0.82421875,-0.78515625,0.0390625
Rv0332,Rv0332,NA,783,-0.81640625,-0.80859375,0.0078125
Rv0333,Rv0333,NA,372,-0.78125,-0.78125,0
Rv0334,Rv0334,rmlA,864,-0.75,-0.76171875,-0.01171875
Rv0335c,Rv0335c,PE6,513,-0.7265625,-0.6953125,0.03125
Rv0336,Rv0336,NA,1509,-0.6171875,-0.62890625,-0.01171875
Rv0337c,Rv0337c,aspC,1287,-0.62890625,-0.671875,-0.04296875
Rv0338c,Rv0338c,NA,2646,-0.71875,-0.734375,-0.015625
Rv0339c,Rv0339c,NA,2496,-0.7421875,-0.6875,0.0546875
Rv0340,Rv0340,NA,537,-0.7734375,-0.75390625,0.01953125
Rv0341,Rv0341,iniB,1437,-0.7890625,-0.7109375,0.078125
Rv0342,Rv0342,iniA,1920,-0.80078125,-0.77734375,0.0234375
Rv0343,Rv0343,iniC,1479,-0.8515625,-0.8359375,0.015625
Rv0344c,Rv0344c,lpqJ,558,-0.8671875,-0.8515625,0.015625
Rv0345,Rv0345,NA,408,-0.83984375,-0.82421875,0.015625
Rv0346c,Rv0346c,ansP2,1461,-0.8203125,-0.80859375,0.01171875
Rv0347,Rv0347,NA,984,-0.80078125,-0.7421875,0.05859375
Rv0348,Rv0348,NA,651,-0.77734375,-0.73828125,0.0390625
Rv0349,Rv0349,NA,657,-0.73828125,-0.6953125,0.04296875
Rv0350,Rv0350,dnaK,1875,-0.734375,-0.7734375,-0.0390625
Rv0351,Rv0351,grpE,705,-0.734375,-0.7421875,-0.0078125
Rv0352,Rv0352,dnaJ1,1185,-0.67578125,-0.7109375,-0.03515625
Rv0353,Rv0353,hspR,378,-0.61328125,-0.63671875,-0.0234375
Rv0354c,Rv0354c,PPE7,423,-0.60546875,-0.59765625,0.0078125
